headLR1,headFB1,backLR1,backFB1,lHipLR1,lHipFB1,rHipLR1,rHipFB1,lKnee1,rKnee1,headLR2,headFB2,backLR2,backFB2,lHipLR2,lHipFB2,rHipLR2,rHipFB2,lKnee2,rKnee2,headLR3,headFB3,backLR3,backFB3,lHipLR3,lHipFB3,rHipLR3,rHipFB3,lKnee3,rKnee3,GoodForm
2.707943710911547,2.401990194769036,1.9912538502020904,2.954849751484536,3.10659883326387,1.9327048731098915,3.017895455404761,1.5470421089031543,2.7182674294811604,2.864720592575944,2.6009957390670344,2.4637888859480235,1.9727216198879483,2.977039010041318,3.119851763778154,1.8945496345344808,3.1054437603589347,1.5470980811680837,2.8309893280647405,2.7883112871406186,2.646964583375775,2.421302936519747,1.505870175890459,3.1188145374703504,1.2614492596052256,1.6931474378463123,1.3683551650578898,2.75719744279224,1.2934190590454557,1.1755703612912138,1
2.646964583375775,2.421302936519747,1.505870175890459,3.1188145374703504,1.2614492596052256,1.6931474378463123,1.3683551650578898,2.75719744279224,1.2934190590454557,1.1755703612912138,2.634913380843182,2.3919912032666586,2.027082307862586,2.968469957179001,3.1172249518457944,1.9304902630154461,3.1089969553546677,1.5346714065520788,2.8381514044916734,2.820727078735001,2.6456001666091273,2.484120242347261,1.533292996616835,3.1319478332136073,1.2083535234625251,1.7724999220744497,1.3785503174162275,2.748401822252851,1.3020950913761156,1.2462307646775976,1
2.6456001666091273,2.484120242347261,1.533292996616835,3.1319478332136073,1.2083535234625251,1.7724999220744497,1.3785503174162275,2.748401822252851,1.3020950913761156,1.2462307646775976,2.574084214806373,2.44316580253745,1.9315563176939199,2.9761716518512817,3.0880260781662185,1.8815204892074773,3.0642673240494114,1.534174392717823,2.8184490313807733,2.8123083036271224,2.6601925092239123,2.4915217402124994,1.50541855505838,3.1183329798123567,1.251491550332478,1.8794262029328703,1.402513203221468,2.799892713928718,1.2926922766959277,1.246558579016953,1
2.6601925092239123,2.4915217402124994,1.50541855505838,3.1183329798123567,1.251491550332478,1.8794262029328703,1.402513203221468,2.799892713928718,1.2926922766959277,1.246558579016953,2.556355606628202,2.5023861938708296,1.856813713121984,2.986479942939713,3.081010927300312,1.8713768306817409,3.064158130486678,1.5700707879612008,2.820199423190258,2.8237402996798515,2.5430770417039255,2.59279354252942,1.614797987974073,3.0527089349734693,1.0884788092005406,1.6509791691802032,1.2683713176283753,2.6546127318029127,1.1993852522232356,1.1738688072998338,1
2.5430770417039255,2.59279354252942,1.614797987974073,3.0527089349734693,1.0884788092005406,1.6509791691802032,1.2683713176283753,2.6546127318029127,1.1993852522232356,1.1738688072998338,2.677682774896681,2.4123225996761124,2.1445151755608696,2.969565456413902,3.1342161829122994,1.9296721604485922,3.077171679012953,1.529192051370937,2.7830448880857657,2.822128438860099,2.677682774896681,2.4123225996761124,2.1445151755608696,2.969565456413902,3.1342161829122994,1.9296721604485922,3.077171679012953,1.529192051370937,2.7830448880857657,2.822128438860099,1
2.642274065166793,2.3932028267837144,1.9952780975535744,2.9646145181017274,3.1399779164343586,1.8821445037589273,3.036199416602393,1.5240973397202067,2.745202252998154,2.8579744201939103,2.5774207058984953,2.4726938815760406,2.026298352761391,2.958983847926358,3.139469931604442,1.8867549772693843,3.120370550702593,1.4777307467292324,2.84725040755451,2.8116081743355505,2.792319234008845,2.4698291052491625,1.548177846344703,3.109124935101509,1.2576747936817052,1.7451191259533954,1.3807932662663605,2.7629421735920263,1.3045156865157865,1.2418373339527642,1
2.792319234008845,2.4698291052491625,1.548177846344703,3.109124935101509,1.2576747936817052,1.7451191259533954,1.3807932662663605,2.7629421735920263,1.3045156865157865,1.2418373339527642,2.631167334256019,2.391929434338098,2.0137572475884213,2.9456046196881256,3.1377509130876593,1.9073551617819433,3.0581120440035714,1.4476742624087062,2.806745480388486,2.8494953784379837,2.757207727059197,2.551108707942003,1.5112221039452047,3.0188435655525607,1.4558375449315422,1.6961301930317405,1.7806529737355032,2.6901864045399697,1.4383354691755943,1.5046495555047608,1
2.757207727059197,2.551108707942003,1.5112221039452047,3.0188435655525607,1.4558375449315422,1.6961301930317405,1.7806529737355032,2.6901864045399697,1.4383354691755943,1.5046495555047608,2.6116791433820903,2.4072974368050506,2.064498232044003,2.958681991069966,3.1335344101627127,1.9008842549503768,3.104357130544678,1.4973650758027912,2.8256414844539632,2.8226227086629145,2.5991299407905046,2.573306947151111,1.5340849945912385,3.09647812983547,1.3641540209474592,1.931223670835903,1.4500098675647846,2.862922665029597,1.3597134930142536,1.2645926614653988,1
2.5991299407905046,2.573306947151111,1.5340849945912385,3.09647812983547,1.3641540209474592,1.931223670835903,1.4500098675647846,2.862922665029597,1.3597134930142536,1.2645926614653988,2.5533543132008343,2.4458473293874543,2.1335673026191335,2.9722196836832553,3.1019237865858016,1.8893268366374159,3.113005419510359,1.50365854535069,2.823433647645739,2.8304299473469476,2.7450910172362386,2.457769464677159,1.5620742238933856,3.096361666301709,1.3408782416442728,1.665156302527768,1.5312434809140234,3.0232968287824136,1.3054663683908279,1.2580979350959782,1
2.7450910172362386,2.457769464677159,1.5620742238933856,3.096361666301709,1.3408782416442728,1.665156302527768,1.5312434809140234,3.0232968287824136,1.3054663683908279,1.2580979350959782,2.676303949383374,2.374070080113683,2.1759846477880385,2.968669707494486,3.13378861202137,1.9075119189450094,3.121158395643869,1.5127205445117609,2.835560743367204,2.8036157538118274,2.6768494878297413,2.3659779014610263,2.1231994293232663,2.972831229712386,3.141370227877429,1.909842178690711,3.126171549622888,1.5109435277233565,2.805805713216591,2.8153204104957132,1
2.6362845614200343,2.4665144275164863,1.9375356827542014,2.994685553250949,3.0462481201905716,1.8479771299768164,3.085608608564903,1.5435711118999882,2.771090134734431,2.742044599224261,2.5414570253924667,2.487505218744073,1.8882320687927028,3.0073959607293075,3.0686139034630053,1.8224373049947173,3.0846896290391674,1.5448595271050196,2.848129938825011,2.790876771102669,2.812626234156571,2.61020842998098,1.5948566308784047,3.080966852563233,1.4207421316831121,2.145609374301898,1.5738698692776343,3.1147664970786013,1.4661347352775185,1.3983826721333854,1
2.812626234156571,2.61020842998098,1.5948566308784047,3.080966852563233,1.4207421316831121,2.145609374301898,1.5738698692776343,3.1147664970786013,1.4661347352775185,1.3983826721333854,2.5244145408629866,2.492948964394249,1.8980730068634393,2.9829384569473567,3.088772782774714,1.827547456347783,3.118517544978008,1.5448341480589383,2.8309699781827806,2.7614264656017715,2.8152646627541404,2.6772790354945575,1.708966550267342,3.085703412921709,1.5276012125691276,2.5938776831451915,1.7341820417462488,2.68745707367526,1.5279619431299216,1.5075985452086076,1
