headLR1,headFB1,backLR1,backFB1,lHipLR1,lHipFB1,rHipLR1,rHipFB1,lKnee1,rKnee1,headLR2,headFB2,backLR2,backFB2,lHipLR2,lHipFB2,rHipLR2,rHipFB2,lKnee2,rKnee2,headLR3,headFB3,backLR3,backFB3,lHipLR3,lHipFB3,rHipLR3,rHipFB3,lKnee3,rKnee3,GoodForm
2.707943710911547,2.401990194769036,1.9912538502020904,2.954849751484536,3.10659883326387,1.9327048731098915,3.017895455404761,1.5470421089031543,2.7182674294811604,2.864720592575944,2.461376624763719,2.611696361586903,1.5972116318990364,3.1216593052800925,1.1359975578136707,1.6741252762270986,1.329081568441148,2.729281751580454,1.2100129375136472,1.1689369546439272,2.67033541288143,2.4383417235015785,2.07309536438852,2.95789871571323,3.103986862083894,1.9336928269306104,3.11249368477119,1.5161889255037746,2.859068501406329,2.800465082992411,1
2.67033541288143,2.4383417235015785,2.07309536438852,2.95789871571323,3.103986862083894,1.9336928269306104,3.11249368477119,1.5161889255037746,2.859068501406329,2.800465082992411,2.646964583375775,2.421302936519747,1.505870175890459,3.1188145374703504,1.2614492596052256,1.6931474378463123,1.3683551650578898,2.75719744279224,1.2934190590454557,1.1755703612912138,2.633796794751039,2.399591937625194,2.03787709803579,2.9696374524410274,3.1170313939166645,1.9287996620717527,3.1147512609457935,1.5357464890434998,2.838922589742401,2.817948386044831,1
2.633796794751039,2.399591937625194,2.03787709803579,2.9696374524410274,3.1170313939166645,1.9287996620717527,3.1147512609457935,1.5357464890434998,2.838922589742401,2.817948386044831,2.5560581843973935,2.5860999486482066,1.6154296209151422,3.0636672842237584,1.090351145583048,1.5089106787824906,1.287089437011369,2.6893798185461857,1.2034592908679076,1.173000864303912,2.590850259165375,2.39909543369318,1.8726294494463949,2.9470987772012873,3.0709662456454145,1.9005531066907715,3.0496793847714607,1.5099510086990326,2.82590645938052,2.8188682699375587,1
2.590850259165375,2.39909543369318,1.8726294494463949,2.9470987772012873,3.0709662456454145,1.9005531066907715,3.0496793847714607,1.5099510086990326,2.82590645938052,2.8188682699375587,2.5257252417686473,2.5841079391908934,1.5873299390815292,3.093452854331427,1.290078234583655,1.4124588655183477,1.536705441932326,3.0741299440396466,1.3132342499082548,1.4036475117648788,2.544564957263743,2.512269377380095,1.8192591266233453,2.9947688106698287,3.072919469864866,1.845917497716071,3.0520826926710565,1.562643130459163,2.817491906704134,2.837538030151078,1
2.544564957263743,2.512269377380095,1.8192591266233453,2.9947688106698287,3.072919469864866,1.845917497716071,3.0520826926710565,1.562643130459163,2.817491906704134,2.837538030151078,2.5632680126383143,2.5894710979574964,1.6095562370120866,3.051404593122049,1.1190869311468419,1.6303348490795826,1.289349568658246,2.688944089724046,1.2102796348432945,1.2015196047030603,2.6802774560358746,2.413000114323544,2.1446919060963765,2.9716505438620544,3.1354374626386674,1.9287996718862024,3.0790935446414376,1.5276456533412464,2.7782659106875487,2.8291877003818,1
2.579832209693413,2.470895734984624,2.0429104162748777,2.9642017844672193,3.135610321785492,1.8894292268581256,3.1288711864160597,1.488306155682849,2.851612529705977,2.8096707933353913,2.729089819207913,2.489774604542236,1.559943446357478,3.122849263368928,1.1706882584238676,1.7349853207228487,1.3030620588366566,2.645641641493728,1.1599117310285414,1.1370241713794011,2.670091432315143,2.395959440621084,2.173512095274006,2.960943270141391,3.114721764543768,1.888472818116807,3.1209084622513563,1.537902606265485,2.8309352318892174,2.788021828397567,1
2.670091432315143,2.395959440621084,2.173512095274006,2.960943270141391,3.114721764543768,1.888472818116807,3.1209084622513563,1.537902606265485,2.8309352318892174,2.788021828397567,2.5433443555865716,2.639577565534204,1.647881934071567,3.090594814107836,1.1370331483900782,1.3319083080692582,1.356919454709999,2.755115007301259,1.1070796972081296,1.0980556087458186,2.649635327443647,2.4044613975813705,2.139022307330796,2.980878615456184,3.138464931428388,1.8943326563808762,3.1063233150036056,1.5366550059947186,2.8528421266396506,2.8015680128906917,1
2.5206835446649567,2.445440319995987,2.0493185319421094,2.9215944271548433,3.112593569406573,1.9095704266640179,3.12315588070473,1.4514343232535953,2.822210019218549,2.80248089974088,2.283553487665252,2.709472868569303,1.593383867103942,3.0239240393875426,1.0816662653191413,1.4390006136368723,1.2314853575505118,2.5391045587708465,1.0515630174421458,1.003583207329726,2.599687537712434,2.4217015702714964,2.257672077727978,2.979575195725084,3.0954843213285845,1.9088836279447212,3.131236597463857,1.5311488823539265,2.828224530009896,2.8239763344013893,1
2.599687537712434,2.4217015702714964,2.257672077727978,2.979575195725084,3.0954843213285845,1.9088836279447212,3.131236597463857,1.5311488823539265,2.828224530009896,2.8239763344013893,2.5609740989143113,2.6159014432147236,1.5808974947736283,3.1052098471433274,1.1730324598379664,1.4593202196809694,1.3759873282721622,2.7742934313541436,1.1225415138777,1.1079028715813857,2.6480223275260957,2.4070373093787096,2.1453494567941647,2.9672518654390863,3.1176885224033177,1.8975109044390355,3.101920577491947,1.5344754057016747,2.833541138669129,2.8093475798358902,1
2.6362845614200343,2.4665144275164863,1.9375356827542014,2.994685553250949,3.0462481201905716,1.8479771299768164,3.085608608564903,1.5435711118999882,2.771090134734431,2.742044599224261,2.5435798361271456,2.636042511839782,1.6305792405305375,3.0721718300362104,1.2506333646992598,1.9853805998092284,1.3154565281234354,2.55767657414727,1.2689762971346976,1.0917010953425397,2.5516492671649424,2.477015144639809,1.8774096025475662,2.9999784124299875,3.064934888243972,1.827979969703814,3.0832877252442548,1.538661525534064,2.84697949880241,2.793416376080663,1
