headLR1,headFB1,backLR1,backFB1,lHipLR1,lHipFB1,rHipLR1,rHipFB1,lKnee1,rKnee1,headLR2,headFB2,backLR2,backFB2,lHipLR2,lHipFB2,rHipLR2,rHipFB2,lKnee2,rKnee2,headLR3,headFB3,backLR3,backFB3,lHipLR3,lHipFB3,rHipLR3,rHipFB3,lKnee3,rKnee3
2.627372058268789,2.351954304962366,2.104827911465559,2.9943557420176936,3.0808375416856784,1.849677007860948,3.095907233558949,1.6140572334775456,2.85238528061953,2.763438324670492,2.771016289810268,2.509542189617096,1.629737421828053,3.0841018202137365,1.5018436636408805,2.404428021765349,1.6200650130518548,2.946886793311076,1.6628528114623726,1.581266683991129,2.6639908319027628,2.32771675372394,2.162481218263472,2.954171871273104,3.0966810623440724,1.8787151967255,3.0917442685966527,1.5845486899039916,2.857392057892115,2.78209534082983
2.6605923034640044,2.275377751209166,0.6455626299596581,2.976829754726833,2.912850573587271,1.6749932226399218,3.01159448437898,1.524542188122315,2.8545197608607955,2.796737175385547,2.7201484473168867,2.616061654226752,1.6105030397868132,2.9549273433666343,1.219564445763312,1.7524781821426778,1.3243032567955757,1.2536908080430802,1.3994372243302755,1.231882730261598,2.732042189619363,2.2226234828567,1.3351354584848405,2.9545489581514253,2.8386623828189355,1.6877457764526134,2.873202250930353,1.506149344152519,2.885968578604192,2.727549723958841
2.779432293327845,2.564988685662674,1.7100575314721336,2.943761358944464,2.2224304203431955,2.079188617128844,2.1745006249192205,1.6943462866353571,2.369745752184356,1.980714838678032,3.006689906187866,2.3400991837224,1.635432287470048,3.0079902858734897,0.8710548791712883,1.884938814807581,0.7122442926220977,2.0422979792028864,1.2669121796204783,1.080527019189031,2.5803189505254074,2.479362353775364,1.8996484625638412,2.99225298823213,3.088641499921706,1.7945975857294656,3.0974808410874046,1.576309346716494,2.859708761232822,2.737858236427149
2.757759396416168,2.2559409666499937,0.5336007889804524,2.996716826565761,2.916102796670567,1.6616983507291228,3.0276458086829523,1.5331920004982442,2.843842411780007,2.797666950071892,2.75684852192856,2.4245145277893023,1.4585842141718048,2.9148025997990588,1.309368502190094,1.688228747949348,1.4102049358064244,0.8586537360005205,1.3563438723275647,1.1965199318643749,2.7795896130609665,2.229874476951574,0.2451857322578603,2.997975670902207,2.942253330751983,1.6641003159917371,3.0350067341112394,1.5279158926873313,2.872363112788971,2.7916275405267448
2.755602016799566,2.236660331991812,0.5992853416622019,2.949041219002817,2.9970658855863714,1.6417944334995376,3.084430874873904,1.4930297799839185,2.8587147581897785,2.814987989077068,2.8937418057378923,2.4619099441734025,1.4521480111168894,2.551701732921229,1.2094086907486592,2.337861977730236,1.2534224747157592,0.6859563579852168,1.4154526127919125,1.149735649142314,2.762454549196318,2.2464500724984764,0.3901590518868478,2.961086067559248,2.934462303473104,1.6291930330784987,2.969490190084471,1.5170231251810165,2.8422600558379862,2.7565187424093702
2.2416413104318087,2.7546474654768414,2.177245683123631,3.0142374149792595,3.140384541004929,1.930022466952194,3.087630261703089,1.4951396881793186,2.8781803532208805,2.7560924602358297,2.860636029124908,2.3685256828141137,1.5865934272799818,3.122864946966369,0.876825005381731,1.8731872776487608,0.9731440687290532,2.3150008916291083,0.970721162182162,0.8489768360152922,2.368856716468245,2.632323270073701,2.290737689634587,3.0041187366351427,3.1102182479547107,1.93300074741518,3.125317425856992,1.4947124754267065,2.914442834586493,2.770996833069845
2.8516835003142784,2.1841949424270037,0.2754277878937682,2.960436220214972,2.979408334090426,1.6846021915004086,3.129277711999708,1.6569320897806643,2.877955993024056,2.835339744010714,2.8220404720361016,2.1659813683762708,1.411963784902711,2.897629307441283,1.3511170156908792,2.1226297559360097,1.89048390117548,1.7977644163037507,1.4084000234331424,1.619759887805425,2.8124615680297174,2.165315831816314,0.1220152572836407,2.933025287284481,2.9368284002341456,1.6723726178494964,3.10505127593618,1.6143975885165736,2.879707479242547,2.8492426719373944
2.844574360063056,2.182190968126729,0.1371912540191876,2.9688975422967983,2.921633772895134,1.7023669170807307,3.101954487354215,1.5892851709650826,2.880065500281373,2.847508285507364,2.891428802758821,2.199858915800043,1.299671603945828,2.702468976937465,1.0985551082524196,2.2913590501481043,1.5455138683836656,2.529672312001157,1.3803574849359053,1.3797346851641308,2.8562275814110745,2.189348844617436,0.0398801272654114,2.93515610613604,2.944519579482224,1.6816623204227528,3.080397765341481,1.6131320313737014,2.8765039476809413,2.819482729886243
2.475768034710665,2.491311827801712,2.4517956359633413,3.0586336589487546,2.740968047656521,1.648815182826151,2.980718273935396,1.5715447034070855,2.541112327974264,2.653904606900172,2.389005240688702,2.444297471760612,1.3178259173917053,2.910577154672797,1.3459250604214636,2.4362966582266115,1.7272246442429986,2.5320066228276628,1.2513010770236883,1.3399171826137128,2.55458010947584,2.4292681892992998,3.04698794418216,3.055136121349657,2.8401251331306208,1.688291072101134,3.026469685115321,1.544224315290176,2.66576227806219,2.717253466401384
2.536685008362668,2.609927414756227,2.4081275535895457,2.984047570221389,3.0994166776984624,1.9519324099227533,3.135014997458252,1.3991676343846793,2.8819992311152545,2.753962155021374,3.0868815143311736,2.418018100655635,1.6633059227374327,2.9168296163767957,1.8188528256392476,2.636969501069743,1.57840921795889,3.010155725994516,2.075427631211606,1.561618415179437,2.554516058788185,2.529052178056613,2.2421068983470613,2.9554837820918576,3.122392908365848,1.973769789320038,3.062367114118568,1.3493745315437695,2.861056650343353,2.792094344685304
